city_name,date_time,percent_congestion
Atlanta,2020-02-01 00:00:00,30.46071764800698
Chicago,2020-02-01 00:00:00,36.178130896019447
Seattle,2020-02-01 00:00:00,38.936386912614672
New York,2020-02-01 00:00:00,27.678311638242381
Washington,2020-02-01 00:00:00,42.123831590410724
Los Angeles,2020-02-01 00:00:00,23.146948014641136
San Francisco,2020-02-01 00:00:00,38.09127896287616
Ciudad de México,2020-02-01 00:00:00,27.935206795078482
Atlanta,2020-02-01 01:00:00,29.414675782351544
Chicago,2020-02-01 01:00:00,31.372062709788938
Seattle,2020-02-01 01:00:00,36.261685105611356
New York,2020-02-01 01:00:00,26.35673562704492
Washington,2020-02-01 01:00:00,35.286136368772695
Los Angeles,2020-02-01 01:00:00,19.24394784008155
San Francisco,2020-02-01 01:00:00,37.63611099902505
Ciudad de México,2020-02-01 01:00:00,24.496546022465655
Atlanta,2020-02-01 02:00:00,26.53940078796132
Chicago,2020-02-01 02:00:00,25.560645758700762
Seattle,2020-02-01 02:00:00,31.559005453645849
New York,2020-02-01 02:00:00,17.888307329079744
Washington,2020-02-01 02:00:00,28.008610663690302
Los Angeles,2020-02-01 02:00:00,14.320154981174518
San Francisco,2020-02-01 02:00:00,29.935334034312056
Ciudad de México,2020-02-01 02:00:00,23.817021518594956
Atlanta,2020-02-01 03:00:00,17.604969653215534
Chicago,2020-02-01 03:00:00,22.234587048840847
Seattle,2020-02-01 03:00:00,20.498329759040164
New York,2020-02-01 03:00:00,14.245217278173678
Washington,2020-02-01 03:00:00,26.021454080192786
Los Angeles,2020-02-01 03:00:00,11.362568200774053
San Francisco,2020-02-01 03:00:00,25.620358983886014
Ciudad de México,2020-02-01 03:00:00,21.825738904092411
Atlanta,2020-02-01 04:00:00,12.336651535473795
Chicago,2020-02-01 04:00:00,18.422972638980436
Seattle,2020-02-01 04:00:00,21.828221952949146
New York,2020-02-01 04:00:00,14.781047553931185
Washington,2020-02-01 04:00:00,22.303120955896379
Los Angeles,2020-02-01 04:00:00,12.3763289279784
San Francisco,2020-02-01 04:00:00,25.625809422714639
Ciudad de México,2020-02-01 04:00:00,17.493315457369008
Atlanta,2020-02-01 05:00:00,11.499933183761927
Chicago,2020-02-01 05:00:00,22.343772673979267
Seattle,2020-02-01 05:00:00,18.235084893131781
New York,2020-02-01 05:00:00,15.615633796860461
Washington,2020-02-01 05:00:00,19.487656968802025
Los Angeles,2020-02-01 05:00:00,18.821040306001656
San Francisco,2020-02-01 05:00:00,24.585108836632376
Ciudad de México,2020-02-01 05:00:00,28.247366000316067
Atlanta,2020-02-01 06:00:00,18.116894082775637
Chicago,2020-02-01 06:00:00,26.052158816203473
Seattle,2020-02-01 06:00:00,27.548990914198544
New York,2020-02-01 06:00:00,23.069340337861778
Washington,2020-02-01 06:00:00,25.765280543098555
Los Angeles,2020-02-01 06:00:00,23.320933468837609
San Francisco,2020-02-01 06:00:00,23.098409502196876
Ciudad de México,2020-02-01 06:00:00,34.525922665279808
